Model selection results for subset: 7ff18c8b39eb13a913000be3aecccf0d
Subset alignment stored here: ./analysis/phylofiles/7ff18c8b39eb13a913000be3aecccf0d.phy
This subset contains the following data_blocks: gene10
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTZOA+I+G       | 2               | -3.296837       | 22.593674        | 10.593674       | 6.593674       
PMB+I+G         | 2               | -3.324236       | 22.648472        | 10.648472       | 6.648472       
WAG+I+G         | 2               | -3.344604       | 22.689209        | 10.689208       | 6.689208       
LG+I+G          | 2               | -3.376846       | 22.753693        | 10.753693       | 6.753692       
MTMAM+I+G       | 2               | -3.381395       | 22.76279         | 10.762791       | 6.76279        
MTREV+I+G       | 2               | -3.411248       | 22.822496        | 10.822496       | 6.822496       
VT+I+G          | 2               | -3.430381       | 22.860762        | 10.860762       | 6.860762       
JTT+I+G         | 2               | -3.438837       | 22.877674        | 10.877674       | 6.877674       
JTTDCMUT+I+G    | 2               | -3.442019       | 22.884037        | 10.884038       | 6.884038       
BLOSUM62+I+G    | 2               | -3.442019       | 22.884037        | 10.884038       | 6.884038       
RTREV+I+G       | 2               | -3.448289       | 22.896578        | 10.896578       | 6.896578       
FLU+I+G         | 2               | -3.457768       | 22.915535        | 10.915536       | 6.915536       
CPREV+I+G       | 2               | -3.473768       | 22.947536        | 10.947536       | 6.947536       
STMTREV+I+G     | 2               | -3.488623       | 22.977245        | 10.977245       | 6.977246       
DCMUT+I+G       | 2               | -3.509362       | 23.018724        | 11.018724       | 7.018724       
DAYHOFF+I+G     | 2               | -3.509362       | 23.018724        | 11.018724       | 7.018724       
HIVB+I+G        | 2               | -3.56312        | 23.12624         | 11.12624        | 7.12624        
HIVW+I+G        | 2               | -3.883207       | 23.766415        | 11.766415       | 7.766414       
LG4X            | 6               | -3.087519       | 102.17504        | 18.175037       | 6.175038       
MTART+F         | 19              | -3.232899       | 804.4658         | 44.465797       | 6.465798       
MTZOA+F         | 19              | -3.296837       | 804.5937         | 44.593674       | 6.593674       
PMB+F           | 19              | -3.324236       | 804.6485         | 44.64847        | 6.648472       
WAG+F           | 19              | -3.344604       | 804.6892         | 44.68921        | 6.689208       
LG+F            | 19              | -3.376846       | 804.75366        | 44.753693       | 6.753692       
MTMAM+F         | 19              | -3.381395       | 804.7628         | 44.76279        | 6.76279        
MTREV+F         | 19              | -3.411248       | 804.8225         | 44.822495       | 6.822496       
VT+F            | 19              | -3.430381       | 804.8608         | 44.860764       | 6.860762       
JTT+F           | 19              | -3.438837       | 804.8777         | 44.877674       | 6.877674       
JTTDCMUT+F      | 19              | -3.442019       | 804.88403        | 44.884037       | 6.884038       
BLOSUM62+F      | 19              | -3.442019       | 804.88403        | 44.884037       | 6.884038       
RTREV+F         | 19              | -3.448289       | 804.8966         | 44.896576       | 6.896578       
FLU+F           | 19              | -3.457768       | 804.9155         | 44.915535       | 6.915536       
CPREV+F         | 19              | -3.473768       | 804.9475         | 44.947536       | 6.947536       
STMTREV+F       | 19              | -3.488623       | 804.97723        | 44.977245       | 6.977246       
DAYHOFF+F       | 19              | -3.509362       | 805.01874        | 45.018723       | 7.018724       
DCMUT+F         | 19              | -3.509362       | 805.01874        | 45.018723       | 7.018724       
HIVB+F          | 19              | -3.56312        | 805.1262         | 45.12624        | 7.12624        
HIVW+F          | 19              | -3.883207       | 805.7664         | 45.766415       | 7.766414       
VT+G+F          | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
HIVB+G+F        | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
LG+G+F          | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
MTREV+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
CPREV+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
WAG+G+F         | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
JTT+G+F         | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
DAYHOFF+G+F     | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
MTMAM+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
JTTDCMUT+G+F    | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
STMTREV+G+F     | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
MTZOA+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
RTREV+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
DCMUT+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
MTART+G+F       | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
FLU+G+F         | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
HIVW+G+F        | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
PMB+G+F         | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
BLOSUM62+G+F    | 20              | -1.796493       | 883.59296        | 43.592987       | 3.592986       
MTZOA+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
CPREV+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
DAYHOFF+I+G+F   | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
BLOSUM62+I+G+F  | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
JTT+I+G+F       | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
WAG+I+G+F       | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
FLU+I+G+F       | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
PMB+I+G+F       | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
MTMAM+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
STMTREV+I+G+F   | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
RTREV+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
MTREV+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
MTART+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
JTTDCMUT+I+G+F  | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
DCMUT+I+G+F     | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
LG+I+G+F        | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
HIVB+I+G+F      | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
HIVW+I+G+F      | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
VT+I+G+F        | 21              | -1.796493       | 969.59296        | 45.592987       | 3.592986       
